No ,Rempah,Funfact 1,Funfact 2
12,Daun Ketumbar,"Meski aromanya kuat, daun ketumbar juga dikenal membantu pencernaan.","Di beberapa negara, daun ketumbar dianggap sebagai “antibiotik alami” karena sifat antibakterinya."
13,Daun Salam,"Selain bumbu, daun salam kerap digunakan dalam obat herbal untuk mengatasi masalah pencernaan.",Daun salam sering digunakan dalam ritual tradisional untuk “mengusir” energi negatif dari ruangan.
14,Jahe,Tidak banyak yang tahu bahwa jahe juga bisa membantu meredakan nyeri otot setelah olahraga intens.,Jahe memiliki sifat anti-inflamasi yang dipercaya bisa membantu mengurangi nyeri sendi pada penderita artritis.
15,Jinten,Jinten dikenal bisa membantu metabolisme tubuh dan membakar kalori lebih cepat.,Jinten sering dikunyah langsung di India untuk membantu pencernaan setelah makan berat.
16,Kapulaga,Kapulaga dipercaya bisa menetralkan bau mulut jika dikonsumsi sebagai teh.,Kapulaga dikenal sebagai salah satu rempah termahal di dunia setelah saffron dan vanilla.
17,Kayu Manis,Kayu manis ternyata bisa membantu mengatur kadar gula darah jika dikonsumsi secara rutin.,Kayu manis dipercaya oleh beberapa orang bisa meningkatkan fungsi otak jika dikonsumsi secara rutin.
18,Kayu Secang,Secang digunakan untuk membuat minuman tradisional dengan warna merah yang unik.,Air rebusan kayu secang menghasilkan warna merah alami dan sering dijadikan pewarna untuk kain batik.
19,Kemiri,Minyak kemiri kerap digunakan untuk memperkuat rambut dan mencegah kerontokan.,Minyak kemiri juga populer untuk melebatkan alis dan bulu mata secara alami.
20,Kemukus,Kemukus dapat memberikan aroma rempah hangat yang unik saat dimasak bersama daging.,"Di beberapa masakan Asia Tenggara, kemukus digunakan sebagai bumbu rahasia untuk memberikan rasa pedas yang khas."
21,Kencur,Kencur sering digunakan sebagai obat alami untuk mengatasi masalah tenggorokan dan batuk.,Kencur dipercaya dapat meningkatkan nafsu makan anak-anak bila dikonsumsi sebagai jamu.
22,Kluwek,"Banyak yang belum tahu, kluwek harus direndam dulu sebelum digunakan karena mengandung zat beracun.",Banyak orang tidak tahu bahwa kluwek mentah beracun dan perlu diolah terlebih dahulu sebelum aman dikonsumsi.
23,Kunyit,Kunyit dipercaya dapat meningkatkan daya tahan tubuh karena kandungan kurkuminnya.,Kunyit digunakan sebagai pewarna alami kuning untuk tekstil dan bahan makanan sejak zaman kuno.
24,Lada,"Lada hitam dikenal sebagai ""raja rempah"" karena kandungan piperinnya yang kuat.","Lada hitam pernah menjadi komoditas perdagangan yang sangat berharga, bahkan digunakan sebagai mata uang."
25,Lengkuas,"Lengkuas tidak hanya bumbu dapur, tapi juga bisa membantu mengurangi gejala radang tenggorokan.",Lengkuas memiliki sifat antibakteri dan kadang digunakan dalam produk kosmetik alami.
26,Pala,Pala memiliki efek menenangkan dan sering digunakan untuk membantu tidur lebih nyenyak.,"Pala memiliki efek psikoaktif jika dikonsumsi dalam jumlah sangat besar, namun ini tidak dianjurkan karena bisa berbahaya."
27,Saffron,"Saffron adalah rempah termahal di dunia, memerlukan 75.000 bunga untuk satu pon saffron.","Saffron memiliki manfaat kesehatan, termasuk membantu meningkatkan suasana hati."
28,Serai,Serai memiliki aroma segar yang digunakan dalam masakan dan produk kecantikan.,Serai juga dikenal dalam pengobatan tradisional untuk meredakan demam dan nyeri otot.
29,Vanili,Vanili berasal dari anggrek yang memerlukan waktu lama untuk diproses menjadi rempah.,"Vanili alami sangat langka dan mahal, sering digantikan dengan vanilin sintetik."
30,Wijen,"Wijen adalah biji tertua yang diketahui, digunakan sejak 4.000 tahun lalu di Mesopotamia.","Wijen kaya akan lemak sehat, protein, dan serat, sehingga populer dalam makanan sehat."
